jurisdiction,metric,metric_type,capture_datetime,value,flag_type,flag_decimal_spike_dip,flag_spike_dip,flag_ndis_labs_spike,flag_stale_exact_reappearance
Kentucky,Forensic Profiles,forensic_profiles,2008-09-16 15:08:05,2398,stale_exact_reappearance,False,False,False,True
Kentucky,Forensic Profiles,forensic_profiles,2009-08-25 07:59:34,2398,stale_exact_reappearance,False,False,False,True
Kentucky,Offender Profiles,offender_profiles,2008-09-16 15:08:05,13142,stale_exact_reappearance,False,False,False,True
Kentucky,Offender Profiles,offender_profiles,2009-08-25 07:59:34,13142,stale_exact_reappearance,False,False,False,True
Louisiana,Forensic Profiles,forensic_profiles,2008-09-16 15:20:50,3923,stale_exact_reappearance,False,False,False,True
Louisiana,Forensic Profiles,forensic_profiles,2009-08-25 08:29:57,3923,stale_exact_reappearance,False,False,False,True
Louisiana,Offender Profiles,offender_profiles,2009-08-25 08:29:57,77781,stale_exact_reappearance,False,False,False,True
Maine,Forensic Profiles,forensic_profiles,2006-09-13 16:08:04,4986,spike_dip,False,True,False,False
Maine,Forensic Profiles,forensic_profiles,2006-09-20 07:39:06,4986,spike_dip,False,True,False,False
Maine,Forensic Profiles,forensic_profiles,2006-09-26 01:12:27,4986,spike_dip,False,True,False,False
Maine,Forensic Profiles,forensic_profiles,2006-09-27 10:34:43,4986,spike_dip,False,True,False,False
Maine,Forensic Profiles,forensic_profiles,2008-09-16 15:18:03,1542,stale_exact_reappearance,False,False,False,True
Maine,Forensic Profiles,forensic_profiles,2009-08-25 08:00:50,1542,stale_exact_reappearance,False,False,False,True
Maine,Offender Profiles,offender_profiles,2008-09-16 15:18:03,8853,stale_exact_reappearance,False,False,False,True
Maine,Offender Profiles,offender_profiles,2009-08-25 08:00:50,8853,stale_exact_reappearance,False,False,False,True
Maryland,Forensic Profiles,forensic_profiles,2008-09-16 15:15:40,4351,stale_exact_reappearance,False,False,False,True
Maryland,Forensic Profiles,forensic_profiles,2009-08-25 07:52:59,4351,stale_exact_reappearance,False,False,False,True
Maryland,Offender Profiles,offender_profiles,2008-09-16 15:15:40,62875,stale_exact_reappearance,False,False,False,True
Maryland,Offender Profiles,offender_profiles,2009-08-25 07:52:59,62875,stale_exact_reappearance,False,False,False,True
Massachusetts,Forensic Profiles,forensic_profiles,2001-11-05 20:25:21,131,stale_exact_reappearance,False,False,False,True
Massachusetts,Forensic Profiles,forensic_profiles,2001-11-09 20:39:14,131,stale_exact_reappearance,False,False,False,True
Massachusetts,Forensic Profiles,forensic_profiles,2008-09-16 15:04:08,3173,stale_exact_reappearance,False,False,False,True
Massachusetts,Forensic Profiles,forensic_profiles,2009-08-25 08:28:33,3173,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2001-11-05 20:25:21,2097,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2001-11-09 20:39:14,2097,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2005-12-17 08:52:32,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2005-12-22 13:35:24,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2005-12-29 16:56:38,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-01-05 04:24:51,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-01-12 00:46:41,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-01-18 07:35:28,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-01-25 06:56:06,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-02-01 18:44:25,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-02-09 03:48:09,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-02-16 00:01:13,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-02-23 03:27:13,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-03-01 23:54:32,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-03-06 22:54:23,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-03-08 23:29:16,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-03-10 12:26:18,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-03-15 22:17:11,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-03-23 00:32:42,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-03-30 04:22:05,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-04-06 13:09:01,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-04-13 00:58:43,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-04-19 23:31:17,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2006-04-26 23:39:28,5936,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2008-09-16 15:04:08,59824,stale_exact_reappearance,False,False,False,True
Massachusetts,Offender Profiles,offender_profiles,2009-08-25 08:28:33,59824,stale_exact_reappearance,False,False,False,True
Michigan,Forensic Profiles,forensic_profiles,2001-11-05 20:35:14,53,stale_exact_reappearance,False,False,False,True
Michigan,Forensic Profiles,forensic_profiles,2008-01-03 18:43:43,297,decimal_spike_dip,True,False,False,False
Michigan,Forensic Profiles,forensic_profiles,2008-01-09 18:36:28,297,decimal_spike_dip,True,False,False,False
Michigan,Forensic Profiles,forensic_profiles,2008-02-13 11:21:29,297,decimal_spike_dip,True,False,False,False
Michigan,Forensic Profiles,forensic_profiles,2008-03-12 06:43:20,297,decimal_spike_dip,True,False,False,False
Michigan,Forensic Profiles,forensic_profiles,2008-04-09 08:58:32,297,decimal_spike_dip,True,False,False,False
Michigan,Forensic Profiles,forensic_profiles,2008-05-14 09:16:40,300,decimal_spike_dip,True,False,False,False
Michigan,Forensic Profiles,forensic_profiles,2008-05-23 18:17:46,300,decimal_spike_dip,True,False,False,False
Michigan,Forensic Profiles,forensic_profiles,2008-09-16 15:05:50,7125,stale_exact_reappearance,False,False,False,True
Michigan,Forensic Profiles,forensic_profiles,2009-08-25 08:16:17,7125,stale_exact_reappearance,False,False,False,True
Michigan,Investigations Aided,investigations_aided,2008-01-03 18:43:43,48,decimal_spike_dip,True,False,False,False
Michigan,Investigations Aided,investigations_aided,2008-01-09 18:36:28,48,decimal_spike_dip,True,False,False,False
